videoId,totalWords,totalUniqueWords,totalSentences,avgSyllPerSec,avgCEFRScore,readability,uncommonRatio,A1ratio,A2ratio,B1ratio,B2ratio,C1ratio,C2ratio,Nratio
ER085wVbxz0,517,272,79,1.4851841233209364,2.648529411764706,5.491178350707372,32.720588235294116,42.72058823529412,16.691176470588236,11.323529411764707,8.676470588235295,3.4558823529411766,0.0,17.13235294117647
21xZj2zqhB0,449,244,82,1.2549551194844242,2.3786885245901637,4.672082047181128,27.86885245901639,49.42622950819672,15.655737704918035,11.311475409836067,7.868852459016392,2.7049180327868854,0.0,13.032786885245901
IhxeUliZz4c,31,23,1,1.2824851712652072,2.7130434782608694,8.402817391304348,43.47826086956522,44.34782608695652,13.043478260869565,9.565217391304348,11.304347826086957,3.4782608695652173,0.0,18.26086956521739
OdI3WlAlZiU,469,251,87,1.307031368752851,2.6063745019920317,4.670969565416494,27.88844621513944,45.657370517928285,14.661354581673306,10.677290836653388,8.44621513944223,3.5059760956175303,0.0,17.051792828685258
JhM6UIMy440,498,257,80,1.3780340576947518,2.630350194552529,5.039616031128405,29.961089494163424,43.96887159533074,14.941634241245136,11.98443579766537,8.560311284046692,4.280155642023346,0.07782101167315175,16.186770428015564
pKWP5Hl5ETI,472,261,85,1.3353963365961847,2.6651340996168584,5.417763047103899,32.56704980842912,43.67816091954023,14.78927203065134,11.417624521072797,8.88888888888889,3.9080459770114944,0.0,17.31800766283525
Eb4RooyW11M,563,260,90,1.5603244068716762,2.4607692307692313,5.47239094017094,32.69230769230769,49.15384615384615,14.692307692307693,10.615384615384615,6.76923076923077,4.0,0.0,14.769230769230768
f2vbxkC3fos,536,298,100,1.448951566690566,2.7946308724832214,5.882433181208055,35.57046979865772,39.127516778523486,15.704697986577179,12.818791946308725,9.664429530201343,4.29530201342282,0.0,18.389261744966444
R8N-PKiyGpM,412,238,70,1.3562954027798781,2.5571428571428574,4.936049075630253,29.411764705882355,46.470588235294116,13.61344537815126,12.26890756302521,8.403361344537815,3.8655462184873945,0.0,15.378151260504202
C3A9nVPMiJo,687,326,103,1.4344051991818396,2.7030674846625766,5.416563380785038,32.20858895705521,44.41717791411043,14.049079754601227,10.429447852760736,8.159509202453988,3.8036809815950923,0.0,19.141104294478527
95DI0d2ZBwA,416,237,66,1.2481810492915941,2.518143459915612,4.6432210203298805,27.42616033755274,47.004219409282705,15.18987341772152,10.886075949367088,7.763713080168776,4.219409282700422,0.0,14.936708860759493
TIZh-Z5tRfw,581,286,87,1.3840328884635396,2.721678321678321,5.576166851539266,33.21678321678322,43.00699300699301,13.216783216783215,13.076923076923078,8.881118881118882,2.9370629370629375,0.06993006993006994,18.81118881118881
R_ByP_XAk9o,481,271,78,1.1271000273418186,2.535055350553505,5.433246740467405,32.47232472324723,46.64206642066421,14.022140221402212,11.955719557195572,8.487084870848708,4.354243542435424,0.0,14.538745387453874
_vcpgDBzWyc,421,223,92,1.1425457164267707,2.549775784753363,5.112668980308053,30.94170403587444,45.2914798206278,14.977578475336323,12.825112107623319,8.699551569506726,2.780269058295964,0.0,15.426008968609864
ShtmFVyC30s,421,239,55,1.307572526870345,2.5456066945606697,5.004351647014074,29.288702928870293,47.112970711297066,14.560669456066943,11.631799163179917,6.7782426778242675,3.1799163179916317,0.0,16.736401673640167
Yq01wzW4MzM,20,17,2,1.071016641950898,2.3058823529411763,4.211294117647059,23.52941176470588,65.88235294117646,4.705882352941177,4.705882352941177,2.3529411764705883,2.3529411764705883,0.0,20.0
3cItoFoOZ8Y,683,344,122,1.2009372044843527,2.5953488372093028,5.510411246664125,33.13953488372093,45.46511627906977,15.290697674418604,10.988372093023255,7.674418604651162,3.662790697674419,0.0,16.91860465116279
vogFFqbkbIQ,1506,603,287,1.3427507662622724,2.8968490878938638,6.780519139494168,41.29353233830846,36.11940298507463,16.218905472636816,13.101160862354892,10.580431177446101,4.378109452736318,0.0,19.601990049751244
A7Pbzc_-rzU,27,23,3,1.2719986060289248,2.5304347826086953,5.938573913043478,34.78260869565217,50.43478260869565,13.91304347826087,6.956521739130435,7.82608695652174,2.608695652173913,0.0,18.26086956521739
UhYzH0AX04Y,435,236,83,1.2018509114629712,2.5940677966101697,5.010333163161119,30.08474576271186,47.71186440677966,13.898305084745763,9.915254237288135,6.3559322033898304,3.9830508474576276,0.0,18.135593220338983
