videoId,totalWords,totalUniqueWords,totalSentences,avgSyllPerSec,avgCEFRScore,readability,uncommonRatio,A1ratio,A2ratio,B1ratio,B2ratio,C1ratio,C2ratio,Nratio,difficulty
SuSTBXGiOsw,671,288,106,1.635172782657083,2.8270833333333334,5.138699580712789,30.55555555555556,42.36111111111111,14.444444444444446,9.444444444444445,7.986111111111111,3.402777777777778,0.0,22.36111111111111,1
-Q1X1pqHlco,658,327,92,1.764087833004738,3.0311926605504587,6.149243238930994,36.69724770642202,36.75840978593272,14.067278287461772,11.43730886850153,9.541284403669724,3.4250764525993884,0.0611620795107033,24.70948012232416,1
EhJS5bUdlTk,70,55,8,1.1278725504018046,2.2327272727272724,2.730727272727273,14.545454545454543,51.63636363636363,18.545454545454547,11.636363636363637,3.636363636363636,2.1818181818181817,0.0,12.363636363636363,1
KRIZOVmsBas,152,98,22,1.7133765756945294,2.1918367346938776,3.565139888682746,20.40816326530612,54.48979591836734,16.3265306122449,10.0,5.1020408163265305,2.857142857142857,0.0,11.224489795918368,1
oJKH3rJiu1Q,536,314,72,1.638818982263372,2.812101910828025,5.498480113234253,32.48407643312102,40.89171974522293,15.031847133757964,11.146496815286625,8.343949044585987,4.076433121019109,0.0,20.50955414012739,1
hvK3EE5toII,552,259,96,1.7319455762664653,2.5845559845559847,4.857593822393822,28.957528957528957,43.938223938223935,15.90733590733591,13.127413127413126,7.722007722007722,3.397683397683398,0.0,15.90733590733591,1
WQCNFcReilw,491,269,67,1.5598369166799642,3.001486988847584,5.881181734450425,34.94423791821561,38.7360594795539,13.382899628252789,9.814126394052044,9.219330855018589,4.758364312267658,0.0,24.089219330855016,1
28fCpAYYTuw,524,279,78,1.757717401889182,2.906810035842294,6.33227835676868,37.99283154121864,39.6415770609319,14.265232974910392,11.827956989247312,7.383512544802868,3.799283154121864,0.07168458781362,23.010752688172044,1
jayZ-37g2SQ,34,27,5,0.86283786404002,2.1259259259259258,2.676539259259259,14.814814814814811,54.81481481481482,14.814814814814811,10.37037037037037,9.62962962962963,3.7037037037037033,0.0,6.666666666666667,1
Ajzf9FyXgE4,139,90,27,1.6064435742257035,2.3777777777777778,4.6414592592592605,27.77777777777778,58.44444444444444,9.333333333333334,7.555555555555555,3.7777777777777777,2.4444444444444446,0.2222222222222222,18.22222222222222,1
CO2QoRjXf_4,34,26,10,1.112991334567467,1.8153846153846156,1.9905630769230769,11.538461538461538,64.61538461538461,12.307692307692308,13.076923076923078,3.076923076923077,0.7692307692307693,0.0,6.153846153846154,1
e-nckgCYY0Y,55,32,8,0.6560129083782219,2.1375,2.8081875,15.625,51.87500000000001,20.0,9.375,7.5,3.75,0.0,7.5,1
JnmtL8WaekY,29,16,4,0.6056029487629999,1.8625,2.3333500000000003,12.5,62.5,16.25,10.0,2.5,1.25,0.0,7.5,1
0392Bcr1ePI,30,24,4,0.594500866980431,1.9083333333333328,4.319500000000001,25.0,65.83333333333333,11.666666666666666,8.333333333333332,3.333333333333333,1.6666666666666667,0.0,9.166666666666668,1
