videoId,totalWords,totalUniqueWords,totalSentences,avgSyllPerSec,avgCEFRScore,readability,uncommonRatio,A1ratio,A2ratio,B1ratio,B2ratio,C1ratio,C2ratio,Nratio
luR70V5gdS0,749,362,115,1.4146198263849183,2.7850828729281774,5.906251376411241,35.35911602209944,41.87845303867403,15.082872928176796,10.718232044198894,8.232044198895029,3.1491712707182327,0.0,20.939226519337016
BKKr55WPrrM,2047,726,416,2.1586850097626322,2.9752066115702482,6.442619103623651,39.25619834710744,34.73829201101928,16.088154269972453,13.360881542699724,10.02754820936639,4.297520661157025,0.02754820936639119,21.460055096418735
eZUKSxE2UZg,501,310,78,1.4114318228614327,2.8438709677419354,6.125229776674939,36.774193548387096,41.87096774193549,13.548387096774196,10.774193548387096,8.129032258064516,3.483870967741936,0.0,22.193548387096772
BYQAFbq2mxE,1391,601,204,1.6404468148499218,3.0376039933444257,6.696240527225866,40.26622296173045,35.374376039933445,14.509151414309486,12.512479201331114,9.317803660565724,5.158069883527454,0.0,23.128119800332776
YYBqfzDPOWU,375,224,58,1.5199771564126783,2.832142857142857,6.312430726600986,37.94642857142857,41.25,14.285714285714285,11.517857142857144,7.5892857142857135,3.660714285714285,0.0,21.696428571428573
aV0BK3QCk0g,460,268,59,1.7161837219837115,2.791044776119403,5.630405894257527,33.2089552238806,41.417910447761194,15.746268656716419,10.970149253731343,7.2388059701492535,3.4328358208955225,0.0746268656716418,21.11940298507463
xG61CapseLU,1766,672,269,1.6942113252943014,2.988095238095238,6.293870813418304,37.797619047619044,33.720238095238095,16.875,12.946428571428573,10.95238095238095,4.345238095238095,0.0,21.16071428571428
v_BgzDHGav0,570,310,98,1.2299131520099849,2.7348387096774194,5.636715602369979,33.87096774193548,44.58064516129031,12.064516129032258,11.419354838709676,8.32258064516129,4.451612903225807,0.0,19.161290322580644
hfzSedylBog,237,154,25,1.3287405926934743,2.4376623376623376,5.49429890909091,31.818181818181817,48.83116883116883,13.896103896103895,11.298701298701298,9.740259740259742,3.116883116883117,0.0,13.116883116883116
4MMdJHYHoiA,2038,785,322,1.7641531001775774,3.092993630573248,7.072450243304191,42.80254777070064,33.47770700636943,15.235668789808917,12.840764331210192,9.477707006369428,4.89171974522293,0.025477707006369428,24.05095541401274
gqdwyXC4Jwk,1081,532,156,1.629157525373192,2.9680451127819545,6.368834143049933,38.15789473684211,34.473684210526315,16.165413533834585,13.684210526315788,10.37593984962406,4.360902255639098,0.03759398496240602,20.902255639097746
ItMpKIxXwlw,418,247,58,1.6289988376952989,2.60080971659919,5.151996481920984,30.364372469635626,45.991902834008094,14.898785425101213,9.878542510121457,8.82591093117409,3.0769230769230766,0.0,17.327935222672064
GSTyIwVqO6Q,235,162,39,1.3530609138987177,2.6271604938271604,5.269797720797722,31.48148148148148,45.18518518518519,14.19753086419753,11.481481481481483,8.765432098765432,2.592592592592593,0.0,17.77777777777778
XYX-IZa3rNs,720,369,121,1.3989556340734948,2.808130081300813,5.772430468767498,34.68834688346883,38.6449864498645,15.934959349593495,13.333333333333334,9.37669376693767,3.4688346883468837,0.05420054200542006,19.1869918699187
Iw8qP0GdZ_0,190,137,25,1.947359024078326,2.7313868613138688,4.871923503649635,28.467153284671532,43.941605839416056,14.890510948905108,9.05109489051095,8.321167883211679,3.795620437956204,0.0,20.0
